Author,Title,Price,Amount
Haruki Murakami,Kafka on the Shore,R218.09,54
Toni Morrison,Beloved,R254.45,80
Gabriel Garcia Marquez,One Hundred Years of Solitude,R225.82,73
Virginia Woolf,To the Lighthouse,R253.2,54
James Joyce,Ulysses,R305.46,66
Kazuo Ishiguro,Never Let Me Go,R202.16,85
Zadie Smith,White Teeth,R291.64,99
Chimamanda Ngozi Adichie,Half of a Yellow Sun,R271.47,94
Jhumpa Lahiri,The Namesake,R278.46,55
Don DeLillo,White Noise,R319.75,79
Jonathan Franzen,The Corrections,R292.53,74
Ian McEwan,Saturday,R277.64,53
Arundhati Roy,The God of Small Things,R304.85,70
Julian Barnes,The Sense of an Ending,R215.16,72
Michael Ondaatje,The English Patient,R340.98,82
Margaret Atwood,The Blind Assassin,R346.56,88
Colm Tóibín,Brooklyn,R289.65,73
Nicole Krauss,The History of Love,R309.6,84
Richard Powers,The Overstory,R310.39,88
Sally Rooney,Normal People,R267.84,97
