Author,Title,Price,Amount
Hilary Mantel,Wolf Hall,R231.09,83
Ken Follett,The Pillars of the Earth,R281.51,72
Colson Whitehead,The Underground Railroad,R299.95,87
Markus Zusak,The Book Thief,R286.0,84
Kristin Hannah,The Nightingale,R295.92,92
Anthony Doerr,All the Light We Cannot See,R324.13,78
Philippa Gregory,The Other Boleyn Girl,R219.5,62
Madeline Miller,Circe,R280.64,52
Amor Towles,A Gentleman in Moscow,R306.32,81
Kate Morton,The Forgotten Garden,R292.35,75
Sebastian Faulks,Birdsong,R319.4,76
Pat Barker,Regeneration,R200.68,64
Ian McEwan,Atonement,R221.76,59
Geraldine Brooks,People of the Book,R270.17,69
Sarah Waters,Fingersmith,R348.42,80
E.L. Doctorow,Ragtime,R298.27,84
Tracy Chevalier,Girl with a Pearl Earring,R295.1,94
Ken Kesey,Sometimes a Great Notion,R272.96,72
Taylor Jenkins Reid,The Seven Husbands of Evelyn Hugo,R253.15,54
Christina Baker Kline,Orphan Train,R341.08,78
