Author,Title,Price,Amount
J.R.R. Tolkien,The Fellowship of the Ring,R299.99,95
George R.R. Martin,A Game of Thrones,R289.50,88
Patrick Rothfuss,The Name of the Wind,R312.45,77
Brandon Sanderson,Mistborn: The Final Empire,R305.10,90
Ursula K. Le Guin,A Wizard of Earthsea,R276.25,82
Robert Jordan,The Eye of the World,R293.80,98
Terry Pratchett,Guards! Guards!,R265.99,74
Robin Hobb,Assassin's Apprentice,R284.70,85
Naomi Novik,Spinning Silver,R299.20,79
N.K. Jemisin,The Fifth Season,R308.35,87
Neil Gaiman,American Gods,R299.99,93
Joe Abercrombie,The Blade Itself,R279.45,72
V.E. Schwab,A Darker Shade of Magic,R287.65,68
Lev Grossman,The Magicians,R268.90,91
Sabaa Tahir,An Ember in the Ashes,R296.10,83
Sarah J. Maas,Throne of Glass,R281.75,97
Tamsyn Muir,Gideon the Ninth,R299.99,88
Holly Black,The Cruel Prince,R277.40,76
Philip Pullman,The Golden Compass,R265.30,84
Marie Brennan,A Natural History of Dragons,R271.80,66
